,Logistic Regression,Decision Tree,Support Vector Machine,K-Nearest Neighbors,Random Forest
Simple Random Sampling,0.8152173913043478,0.9565217391304348,0.9565217391304348,0.8695652173913043,0.9891304347826086
Stratified Sampling,0.9239130434782609,0.9347826086956522,0.9347826086956522,0.8043478260869565,0.967391304347826
Bootstrap Sampling,0.9130434782608695,0.9565217391304348,0.9565217391304348,0.8695652173913043,0.9891304347826086
Systematic Sampling,0.8482142857142857,0.9732142857142857,0.9821428571428571,0.9107142857142857,0.9910714285714286
Cluster Sampling,0.9358974358974359,0.9358974358974359,0.9615384615384616,0.8846153846153846,0.9743589743589743
